,created,date_time,name,people,area,tags
0,02/04/2021 14:14,04/04/2021 12:33,HoldenCraw,5,inside,
1,04/04/2021 10:19,04/04/2021 12:45,LaurelRoss,4,outside,
2,04/04/2021 09:34,04/04/2021 12:57,EverettFre,4,outside,
3,31/03/2021 18:01,04/04/2021 13:41,FranciscoG,6,outside,
4,30/03/2021 21:34,04/04/2021 16:38,JadenAllis,4,outside,
5,03/04/2021 21:48,04/04/2021 16:59,EverettBar,10,inside,
6,04/04/2021 10:57,04/04/2021 19:10,BelenBende,3,inside,
7,04/04/2021 09:21,04/04/2021 19:19,NinaCherry,6,inside,
8,04/04/2021 18:47,04/04/2021 20:11,NevaehGeor,4,inside,
9,04/04/2021 18:33,04/04/2021 20:44,AbigayleCa,2,inside,
10,04/04/2021 13:06,04/04/2021 20:57,MarilynFit,4,inside,
