,created,date_time,name,people,area,tags
0,14:14 02/04/2021,12:33 04/04/2021,SladeFried,5,inside,
1,10:19 04/04/2021,12:45 04/04/2021,MarvinComb,4,outside,
2,09:34 04/04/2021,12:57 04/04/2021,DwayneJohn,4,outside,
3,13:00 04/04/2021,13:38 04/04/2021,CatherineA,2,inside,
4,12:34 04/04/2021,13:40 04/04/2021,GilbertoHa,4,inside,
5,18:01 31/03/2021,13:41 04/04/2021,MalcolmDan,6,outside,
6,13:30 04/04/2021,13:52 04/04/2021,PamelaOsbo,3,outside,
7,21:34 30/03/2021,16:38 04/04/2021,KaylieRidd,4,outside,
8,13:03 04/04/2021,16:38 04/04/2021,AliyahPenn,4,outside,
9,21:48 03/04/2021,16:59 04/04/2021,DevinLee,10,inside,
10,10:57 04/04/2021,19:10 04/04/2021,CarmenBerr,3,inside,
11,09:21 04/04/2021,19:19 04/04/2021,ScarletBut,6,inside,
12,15:01 04/04/2021,19:47 04/04/2021,JasperWise,6,outside,
13,18:47 04/04/2021,20:11 04/04/2021,HallieSant,4,inside,
14,13:11 04/04/2021,20:20 04/04/2021,HaroldMay,4,inside,
15,18:33 04/04/2021,20:44 04/04/2021,RobertCald,2,inside,
16,14:21 04/04/2021,20:46 04/04/2021,AdityaYode,3,inside,
17,15:25 04/04/2021,20:57 04/04/2021,CaydenWade,6,outside,
18,13:06 04/04/2021,20:57 04/04/2021,EmmanuelLo,4,inside,
