,created,date_time,name,people,area,tags
0,21:28 03/04/2021,12:01 05/04/2021,AbigayleCa,2,inside,
1,16:07 23/03/2021,12:42 05/04/2021,MattieDoyl,16,inside,
2,11:19 04/04/2021,14:29 05/04/2021,MessiahSim,4,inside,
3,17:18 04/04/2021,19:01 05/04/2021,LitzyAlexa,2,inside,
4,18:38 05/04/2021,19:10 05/04/2021,PatienceNi,2,outside,
5,12:18 05/04/2021,19:36 05/04/2021,AydinGeorg,3,inside,
6,18:18 04/04/2021,19:58 05/04/2021,AlfredConl,4,inside,
7,18:43 05/04/2021,20:19 05/04/2021,MarcoHarpe,2,inside,
8,13:54 05/04/2021,20:34 05/04/2021,AmiyahHens,2,outside,
9,19:55 05/04/2021,20:52 05/04/2021,EmilieOrr,2,outside,
10,18:47 05/04/2021,21:08 05/04/2021,IzabelleBr,2,inside,
11,16:56 05/04/2021,21:21 05/04/2021,SeanDennis,6,inside,
