,created,date_time,name,people,area,tags
0,14:58 04/04/2021,10:40 06/04/2021,CoryMcpher,6,outside,
1,15:57 22/03/2021,12:32 06/04/2021,JermaineVa,10,inside,
2,19:31 05/04/2021,13:45 06/04/2021,KaleStrick,2,inside,
3,17:03 05/04/2021,15:22 06/04/2021,DevinLee,3,inside,
4,17:14 05/04/2021,15:32 06/04/2021,YuremRando,6,inside,
5,15:41 06/04/2021,16:58 06/04/2021,RihannaLar,2,outside,
6,15:34 31/03/2021,17:00 06/04/2021,JewelDodso,6,outside,
7,16:47 30/03/2021,17:48 06/04/2021,MosesJenni,4,outside,
8,15:09 05/04/2021,18:38 06/04/2021,JulioChang,2,inside,
9,12:16 02/04/2021,19:51 06/04/2021,RobertRoja,5,inside,
10,16:14 06/04/2021,20:36 06/04/2021,RohanDuke,2,inside,
11,15:20 01/04/2021,20:36 06/04/2021,HalleArnol,2,inside,
12,21:28 04/04/2021,21:01 06/04/2021,EdwardDods,8,inside,
