,created,date_time,name,people,area,tags
0,19:51 06/04/2021,10:11 07/04/2021,OmarGilber,3,outside,
1,15:17 04/04/2021,11:14 07/04/2021,EduardoWat,6,outside,
2,11:24 06/04/2021,13:39 07/04/2021,KadenWise,4,inside,
3,12:24 07/04/2021,13:54 07/04/2021,KoleAlexan,4,outside,
4,17:27 06/04/2021,14:01 07/04/2021,TristianCl,3,inside,
5,11:15 06/04/2021,14:07 07/04/2021,OwenRandal,2,outside,
6,18:37 23/03/2021,14:09 07/04/2021,DeborahFig,18,inside,
7,10:38 07/04/2021,14:25 07/04/2021,SamaraHowe,2,inside,
8,15:14 07/04/2021,15:45 07/04/2021,CharlesWil,5,inside,
9,13:33 07/04/2021,16:30 07/04/2021,DesiraeCer,2,outside,
10,12:55 04/04/2021,17:15 07/04/2021,RoyCampos,2,inside,
