,created,date_time,name,people,area,tags
0,16:21 06/04/2021,18:13 08/04/2021,GeraldCabr,3,inside,
1,18:10 08/04/2021,18:50 08/04/2021,MarleyCook,6,outside,
2,17:40 08/04/2021,19:06 08/04/2021,KymaniHugh,2,inside,
3,17:57 08/04/2021,19:07 08/04/2021,LanaDurham,2,inside,
4,18:29 08/04/2021,19:14 08/04/2021,ChaceShort,2,inside,
5,19:53 08/04/2021,19:21 08/04/2021,MosesJenni,2,outside,"smoking,"
6,19:13 08/04/2021,19:26 08/04/2021,MarkRice,2,inside,
7,19:25 05/04/2021,19:37 08/04/2021,MohammedBe,3,inside,"wheelchair,"
8,18:55 06/04/2021,20:01 08/04/2021,RolandoMir,2,inside,
9,19:53 26/03/2021,20:10 08/04/2021,JustusDunc,2,inside,
10,11:11 05/04/2021,20:11 08/04/2021,MarcoHarpe,2,inside,
11,16:14 07/04/2021,20:11 08/04/2021,ElijahBroo,2,outside,
12,11:58 08/04/2021,20:27 08/04/2021,GiovanniMc,2,inside,
13,10:10 08/04/2021,20:30 08/04/2021,SloaneBrig,2,inside,
14,19:36 08/04/2021,20:36 08/04/2021,MateoOsbor,2,outside,
15,11:38 08/04/2021,20:37 08/04/2021,RyannMonto,2,inside,
16,20:20 08/04/2021,20:43 08/04/2021,RodrigoArr,2,inside,
17,19:03 08/04/2021,20:44 08/04/2021,JaidenWash,2,outside,"smoking,"
18,18:40 08/04/2021,20:46 08/04/2021,RhiannaNie,2,inside,
19,18:19 05/04/2021,20:56 08/04/2021,JuliaCalho,3,outside,
20,14:25 06/04/2021,21:20 08/04/2021,IreneMoore,12,inside,
21,21:27 08/04/2021,21:30 08/04/2021,MelissaSan,2,inside,
22,16:33 08/04/2021,21:31 08/04/2021,RaulJacobs,6,inside,
23,10:20 04/04/2021,21:31 08/04/2021,ChaceShort,2,inside,
24,18:53 08/04/2021,21:31 08/04/2021,MyahHampto,5,outside,
25,21:39 08/04/2021,21:48 08/04/2021,JordynRoja,3,outside,
26,17:14 08/04/2021,21:49 08/04/2021,JosephineE,2,inside,
27,16:32 08/04/2021,21:49 08/04/2021,JaceyHuang,4,inside,
28,21:15 08/04/2021,21:57 08/04/2021,TateCosta,2,inside,
29,14:07 08/04/2021,21:57 08/04/2021,ColemanFos,3,inside,
30,19:13 08/04/2021,22:00 08/04/2021,AngelWalle,2,outside,
31,20:49 08/04/2021,22:27 08/04/2021,LayneLawso,2,inside,
32,21:40 08/04/2021,22:27 08/04/2021,KeeganLync,2,inside,
33,18:56 08/04/2021,22:33 08/04/2021,TalanBullo,4,inside,
