,created,date_time,name,people,area,tags
0,12:16 08/04/2021,12:59 08/04/2021,MylesMunoz,4,outside,
1,12:29 03/04/2021,14:12 08/04/2021,RishiLivin,6,outside,
2,12:58 08/04/2021,18:06 08/04/2021,DarioWest,2,outside,
3,16:21 06/04/2021,18:13 08/04/2021,PatriciaMo,3,inside,
4,15:26 07/04/2021,18:37 08/04/2021,IvyBoyer,5,outside,
5,18:10 08/04/2021,18:50 08/04/2021,ZaydenBarn,6,outside,
6,17:40 08/04/2021,19:06 08/04/2021,TrentWare,2,inside,
7,17:57 08/04/2021,19:07 08/04/2021,MiraBentle,2,inside,
8,15:41 08/04/2021,19:08 08/04/2021,PhilipJime,3,inside,
9,18:29 08/04/2021,19:14 08/04/2021,KrishMontg,2,inside,
10,17:04 29/03/2021,19:15 08/04/2021,CaleRiggs,2,inside,
11,19:53 08/04/2021,19:21 08/04/2021,BraedonTra,2,outside,"smoking,"
12,19:13 08/04/2021,19:26 08/04/2021,KristianWe,2,inside,
13,19:25 05/04/2021,19:37 08/04/2021,CallieMend,3,inside,"wheelchair,"
14,16:08 08/04/2021,19:42 08/04/2021,ChandlerAy,2,outside,
15,18:55 06/04/2021,20:01 08/04/2021,MathewNich,2,inside,
16,19:53 26/03/2021,20:10 08/04/2021,RodrigoArr,2,inside,
17,11:11 05/04/2021,20:11 08/04/2021,AddisonHin,2,inside,
18,16:14 07/04/2021,20:11 08/04/2021,PamelaOsbo,2,outside,
19,11:34 08/04/2021,20:12 08/04/2021,AdalynMccl,6,inside,
20,11:58 08/04/2021,20:27 08/04/2021,ReaganSanf,2,inside,
21,10:10 08/04/2021,20:30 08/04/2021,NatalyCook,2,inside,
22,13:28 08/04/2021,20:35 08/04/2021,MaliaBlack,2,inside,
23,19:36 08/04/2021,20:36 08/04/2021,KaydenSims,2,outside,
24,11:38 08/04/2021,20:37 08/04/2021,DevinLee,2,inside,
25,20:20 08/04/2021,20:43 08/04/2021,TyshawnLog,2,inside,
26,19:03 08/04/2021,20:44 08/04/2021,ZainRamire,2,outside,"smoking,"
27,18:40 08/04/2021,20:46 08/04/2021,MarieMoon,2,inside,
28,11:30 06/04/2021,20:47 08/04/2021,DestinyHue,3,outside,
29,18:19 05/04/2021,20:56 08/04/2021,AnabelleJa,3,outside,
30,14:25 06/04/2021,21:20 08/04/2021,HanaMahone,12,inside,
31,11:00 08/04/2021,21:28 08/04/2021,JaydonMald,2,outside,
32,21:27 08/04/2021,21:30 08/04/2021,KieraCrawf,2,inside,
33,16:33 08/04/2021,21:31 08/04/2021,RoryJordan,6,inside,
34,10:20 04/04/2021,21:31 08/04/2021,KeatonBook,2,inside,
35,18:53 08/04/2021,21:31 08/04/2021,KenleyHick,5,outside,
36,15:41 04/04/2021,21:37 08/04/2021,KoleAlexan,2,inside,
37,21:39 08/04/2021,21:48 08/04/2021,CaydenWade,3,outside,
38,17:14 08/04/2021,21:49 08/04/2021,ShaneWeber,2,inside,
39,16:32 08/04/2021,21:49 08/04/2021,KylieEstes,4,inside,
40,21:15 08/04/2021,21:57 08/04/2021,GracelynBi,2,inside,
41,14:07 08/04/2021,21:57 08/04/2021,AdolfoDick,3,inside,
42,19:13 08/04/2021,22:00 08/04/2021,CaseyMorto,2,outside,
43,20:49 08/04/2021,22:27 08/04/2021,JohnathanC,2,inside,
44,21:40 08/04/2021,22:27 08/04/2021,MikeFiguer,2,inside,
45,18:56 08/04/2021,22:33 08/04/2021,TrentChand,4,inside,
