,created,date_time,name,people,area,tags
0,14:52 06/08/2019,10:01 09/08/2019,PamelaOsbo,2,inside,
1,19:13 08/08/2019,10:05 09/08/2019,KeatonBook,2,inside,
2,10:25 09/08/2019,10:54 09/08/2019,AbagailObr,4,inside,
3,11:01 09/08/2019,12:20 09/08/2019,AsaSexton,4,inside,
4,15:24 08/08/2019,12:33 09/08/2019,GarrettBar,9,inside,
5,09:33 09/08/2019,12:50 09/08/2019,ClareBarr,4,inside,
6,11:07 07/08/2019,12:53 09/08/2019,DeandreLe,18,inside,
7,12:20 07/08/2019,13:01 09/08/2019,AlfredScot,2,inside,
8,12:38 09/08/2019,13:22 09/08/2019,MalikSpark,4,inside,
9,12:45 09/08/2019,13:56 09/08/2019,LuciaLogan,9,inside,
10,17:58 05/08/2019,14:17 09/08/2019,AspenRitte,4,inside,
11,20:33 08/08/2019,14:32 09/08/2019,RyannMonto,8,inside,
12,12:08 09/08/2019,14:36 09/08/2019,NatalyKauf,8,inside,
13,13:51 09/08/2019,14:38 09/08/2019,WinstonHah,4,inside,
14,15:07 08/08/2019,14:54 09/08/2019,MyahHampto,4,inside,
15,09:05 09/08/2019,15:13 09/08/2019,BradyTurne,6,inside,
16,14:48 09/08/2019,15:20 09/08/2019,SantiagoLa,2,inside,
17,15:45 09/08/2019,16:00 09/08/2019,GarrettBar,2,inside,
18,15:52 09/08/2019,16:41 09/08/2019,MaiaKane,7,inside,
19,16:37 09/08/2019,16:43 09/08/2019,DonavanMcl,2,inside,
20,15:49 09/08/2019,16:51 09/08/2019,ElizabethC,6,inside,
21,19:19 08/08/2019,17:43 09/08/2019,KayleighCo,11,inside,
22,17:11 09/08/2019,17:45 09/08/2019,SloaneBrig,2,outside,
23,12:58 06/08/2019,17:46 09/08/2019,AdityaYode,5,inside,
24,10:04 04/08/2019,17:51 09/08/2019,FletcherHo,4,inside,
25,11:29 09/08/2019,17:54 09/08/2019,KelsieMcfa,5,inside,
26,19:18 06/08/2019,17:59 09/08/2019,AnneHensle,14,inside,"babychair,"
27,18:12 07/08/2019,18:01 09/08/2019,SteveSchne,8,inside,"babychair,"
28,14:44 02/08/2019,18:01 09/08/2019,BillyJarvi,7,inside,elder
29,10:21 05/08/2019,18:02 09/08/2019,KillianCru,12,inside,
30,17:47 09/08/2019,18:11 09/08/2019,ClarenceBa,5,inside,
31,17:05 09/08/2019,18:15 09/08/2019,RolandoMir,2,outside,
32,10:18 09/08/2019,18:15 09/08/2019,BellaAyers,5,inside,
33,10:14 09/08/2019,18:19 09/08/2019,JohannaHic,4,inside,
34,10:36 09/08/2019,18:19 09/08/2019,KeeganLeon,5,inside,
35,15:37 08/08/2019,18:20 09/08/2019,RyleeRobbi,3,inside,
36,10:37 08/08/2019,18:30 09/08/2019,MarcoHarpe,4,inside,
37,11:00 08/08/2019,18:31 09/08/2019,EliMeadows,4,inside,
38,12:58 07/08/2019,18:31 09/08/2019,JasleneTur,6,inside,
39,19:09 02/08/2019,18:32 09/08/2019,DesmondCoh,6,inside,
40,15:16 08/08/2019,18:34 09/08/2019,RemingtonK,5,inside,
41,14:52 08/08/2019,18:36 09/08/2019,AuroraStua,6,inside,
42,09:58 09/08/2019,18:37 09/08/2019,NathanialB,5,inside,
43,17:41 09/08/2019,18:37 09/08/2019,KeatonNich,4,inside,
44,11:32 07/08/2019,18:38 09/08/2019,RoryJordan,6,outside,
45,17:16 09/08/2019,18:54 09/08/2019,MayraWatts,3,outside,
46,14:05 09/08/2019,18:55 09/08/2019,ManuelReyn,2,inside,
47,18:39 09/08/2019,19:00 09/08/2019,AnneClemen,2,outside,
48,18:35 09/08/2019,19:01 09/08/2019,RaquelConn,2,inside,
49,15:36 08/08/2019,19:06 09/08/2019,EliannaBuc,2,outside,
50,13:58 09/08/2019,19:11 09/08/2019,JesseBarne,5,inside,
51,20:29 08/08/2019,19:18 09/08/2019,AlvaroDalt,2,inside,
52,16:06 09/08/2019,19:31 09/08/2019,KobeKirby,2,outside,
53,19:21 09/08/2019,19:36 09/08/2019,JamiyaFrie,2,outside,
54,22:27 01/08/2019,19:52 09/08/2019,AldoOrtega,2,inside,
55,12:33 09/08/2019,19:52 09/08/2019,RyleeLevin,5,inside,
56,20:37 06/08/2019,19:57 09/08/2019,EmmettGonz,3,inside,
57,18:00 29/07/2019,19:57 09/08/2019,JaydinFox,4,inside,
58,12:11 09/08/2019,19:58 09/08/2019,HannahMora,6,inside,
59,10:01 05/08/2019,19:58 09/08/2019,EduardoWat,6,outside,
60,15:13 08/08/2019,20:00 09/08/2019,ReaganSanf,2,inside,
61,18:41 08/08/2019,20:02 09/08/2019,DavisClayt,3,inside,
62,16:55 09/08/2019,20:05 09/08/2019,JoyceBuckl,2,outside,"smoking,"
63,18:14 08/08/2019,20:06 09/08/2019,MagdalenaP,2,outside,
64,10:33 09/08/2019,20:06 09/08/2019,GeraldCabr,2,outside,
65,19:25 09/08/2019,20:07 09/08/2019,SariahFran,2,outside,
66,19:38 06/08/2019,20:13 09/08/2019,MacieAshle,5,inside,
67,15:20 06/08/2019,20:16 09/08/2019,RogerBenit,6,inside,
68,19:40 03/08/2019,20:22 09/08/2019,VictoriaRe,5,inside,
69,13:05 09/08/2019,20:23 09/08/2019,KymaniHugh,4,inside,
70,09:55 06/08/2019,20:27 09/08/2019,BrianaWolf,6,inside,
71,11:58 04/08/2019,20:29 09/08/2019,SullivanWi,5,inside,
72,17:13 28/07/2019,20:35 09/08/2019,JulienStua,4,inside,
73,21:05 07/08/2019,20:35 09/08/2019,SidneySnyd,6,inside,
74,15:57 08/08/2019,20:37 09/08/2019,ZaidCarr,4,outside,
75,13:21 08/08/2019,20:37 09/08/2019,KadenWise,7,inside,
76,16:44 05/08/2019,20:40 09/08/2019,SidneyHard,4,inside,
77,10:07 08/08/2019,20:41 09/08/2019,SteveSchne,4,inside,
78,11:20 09/08/2019,20:45 09/08/2019,CaseyMorto,4,outside,
79,12:33 09/08/2019,20:51 09/08/2019,KaileyElli,4,outside,"smoking,"
80,11:10 08/08/2019,20:54 09/08/2019,NeveahHend,2,inside,
81,18:55 08/08/2019,20:55 09/08/2019,MiracleKno,6,inside,
82,20:49 09/08/2019,20:56 09/08/2019,AnnWare,2,outside,
83,12:53 09/08/2019,20:57 09/08/2019,AdolfoDick,4,inside,
84,20:44 09/08/2019,20:58 09/08/2019,RamiroHull,4,inside,
85,20:26 08/08/2019,21:01 09/08/2019,MatthiasLo,4,inside,
86,16:26 06/08/2019,21:04 09/08/2019,KenleyHick,15,inside,
87,16:49 04/08/2019,21:06 09/08/2019,HadassahWa,2,outside,
88,20:42 09/08/2019,21:11 09/08/2019,LanaDurham,2,outside,
89,19:09 09/08/2019,21:13 09/08/2019,HadleyAria,3,inside,
90,14:13 09/08/2019,21:14 09/08/2019,JavonShepp,2,inside,
