,created,date_time,name,people,area,tags
0,20:15 08/04/2021,10:20 09/04/2021,MateoOsbor,4,inside,
1,21:24 08/04/2021,10:23 09/04/2021,VictorMckn,3,inside,
2,19:58 08/04/2021,10:28 09/04/2021,BaileeJuar,2,outside,
3,10:25 09/04/2021,11:36 09/04/2021,AidanHerma,2,inside,
4,10:52 05/04/2021,12:11 09/04/2021,AngelaCast,5,inside,
5,10:18 08/04/2021,12:11 09/04/2021,AlannahWhi,4,inside,
6,15:13 02/04/2021,12:28 09/04/2021,JasleneTur,2,outside,"smoking,"
7,11:47 09/04/2021,12:33 09/04/2021,MicaelaSte,2,inside,
8,12:45 07/04/2021,12:45 09/04/2021,GriffinBro,12,inside,
9,18:49 04/04/2021,12:55 09/04/2021,ZaydenBarn,3,inside,
10,14:09 08/04/2021,13:21 09/04/2021,JustusBran,2,outside,
11,12:43 07/04/2021,13:43 09/04/2021,AnaColon,15,inside,
12,13:11 24/03/2021,13:49 09/04/2021,KylieEstes,3,inside,
13,18:21 08/04/2021,13:58 09/04/2021,KaleStrick,2,inside,
14,15:37 06/04/2021,14:03 09/04/2021,LaytonGall,4,inside,
15,08:32 08/04/2021,14:06 09/04/2021,JohannaHic,4,outside,
16,19:27 28/03/2021,14:14 09/04/2021,JavierCowa,6,inside,
17,10:45 08/04/2021,14:32 09/04/2021,MakenaSext,8,inside,"wheelchair,"
18,11:32 09/04/2021,14:36 09/04/2021,AnikaNewto,3,outside,"babychair,"
19,13:09 09/04/2021,14:37 09/04/2021,KaiBernard,3,inside,
20,13:56 09/04/2021,14:39 09/04/2021,JadynArell,2,inside,
21,12:59 09/04/2021,14:41 09/04/2021,DeandreMcc,3,inside,
22,14:03 09/04/2021,14:42 09/04/2021,KylieEstes,2,inside,
23,18:53 06/04/2021,14:58 09/04/2021,JulianaPie,2,outside,
24,11:26 04/04/2021,15:19 09/04/2021,MalakiDele,8,inside,
25,12:38 09/04/2021,15:21 09/04/2021,HazelWalto,2,inside,
26,15:18 05/04/2021,15:52 09/04/2021,AliceBoyd,5,inside,
27,14:33 09/04/2021,16:03 09/04/2021,MadeleineD,5,inside,
28,11:01 09/04/2021,17:38 09/04/2021,CarleyHale,2,outside,
29,11:28 09/04/2021,17:46 09/04/2021,TomasStant,2,outside,
30,22:52 05/04/2021,17:46 09/04/2021,TyLawson,3,inside,
31,15:57 09/04/2021,18:02 09/04/2021,MatthiasLo,3,inside,
32,23:38 08/04/2021,18:07 09/04/2021,MaliaSheph,4,inside,
33,19:46 14/03/2021,18:12 09/04/2021,KinsleyRol,4,inside,
34,10:36 09/04/2021,18:13 09/04/2021,SimeonHern,2,inside,
35,21:50 08/04/2021,18:26 09/04/2021,MelodyOrte,4,inside,
36,19:04 04/04/2021,18:28 09/04/2021,PatriciaMo,8,inside,elder
37,19:55 08/04/2021,18:32 09/04/2021,AntonyRubi,2,inside,
38,15:06 09/04/2021,18:34 09/04/2021,AprilHowe,2,inside,
39,17:03 02/04/2021,18:35 09/04/2021,FinleyPark,6,inside,
40,10:07 08/04/2021,18:45 09/04/2021,LondynMcmi,2,inside,
41,21:36 04/04/2021,18:50 09/04/2021,SteveSchne,2,inside,
42,15:32 09/04/2021,18:51 09/04/2021,KasonAceve,4,inside,
43,12:32 08/04/2021,18:55 09/04/2021,PaytenBolt,3,inside,
44,09:57 06/04/2021,18:57 09/04/2021,DevinLee,3,inside,
45,18:52 07/04/2021,19:05 09/04/2021,DarioLara,2,inside,
46,20:36 06/04/2021,19:06 09/04/2021,JaronEllio,2,inside,
47,15:24 07/04/2021,19:31 09/04/2021,JonSloan,2,outside,
48,10:07 09/04/2021,19:31 09/04/2021,SemajLopez,2,inside,
49,18:37 29/03/2021,19:32 09/04/2021,ShylaSteve,2,inside,
50,12:08 04/04/2021,19:55 09/04/2021,KaelMahone,2,inside,
51,19:05 06/04/2021,19:55 09/04/2021,XavierBoni,5,outside,
52,19:08 09/04/2021,19:58 09/04/2021,KeatonBook,2,outside,
53,20:59 06/04/2021,19:58 09/04/2021,MatthiasOw,2,inside,
54,21:56 12/03/2021,19:59 09/04/2021,HarperNola,2,inside,
55,20:37 04/04/2021,20:05 09/04/2021,CamronPowe,2,inside,
56,18:26 05/04/2021,20:18 09/04/2021,AprilVasqu,5,inside,
57,14:08 05/04/2021,20:31 09/04/2021,AdityaYode,6,inside,
58,17:01 16/03/2021,20:37 09/04/2021,GretchenCo,2,outside,
59,15:08 06/04/2021,20:40 09/04/2021,KamoraCohe,4,inside,
60,21:32 06/04/2021,20:44 09/04/2021,YamiletMor,6,inside,
61,21:09 06/04/2021,20:56 09/04/2021,IreneMoore,2,inside,
62,16:40 08/04/2021,20:58 09/04/2021,EverettSta,3,inside,
63,16:45 08/04/2021,20:59 09/04/2021,PaytenHump,2,inside,
64,18:36 08/04/2021,21:01 09/04/2021,AngelaCast,2,inside,
65,20:31 29/03/2021,21:16 09/04/2021,HazelWalto,2,outside,
66,21:48 08/04/2021,21:20 09/04/2021,ChasityAre,2,inside,
67,16:21 06/04/2021,21:24 09/04/2021,IanRuiz,3,inside,
68,10:32 09/04/2021,21:30 09/04/2021,GordonWern,8,inside,
69,20:33 08/04/2021,21:33 09/04/2021,DestinyHue,2,inside,
70,21:01 09/04/2021,21:51 09/04/2021,LondonVale,3,inside,
