,created,date_time,name,people,area,tags
0,15:02 04/04/2021,10:00 09/04/2021,RobertRoja,4,inside,
1,09:48 05/04/2021,10:16 09/04/2021,MarvinComb,2,outside,
2,20:15 08/04/2021,10:20 09/04/2021,KieraCrawf,4,inside,
3,21:24 08/04/2021,10:23 09/04/2021,KaylieGuzm,3,inside,
4,19:58 08/04/2021,10:28 09/04/2021,GracelynBi,2,outside,
5,14:02 08/04/2021,10:35 09/04/2021,EmeryClayt,4,outside,
6,09:49 09/04/2021,10:42 09/04/2021,TimothyMay,4,inside,
7,09:52 09/04/2021,10:51 09/04/2021,IanRuiz,2,outside,
8,12:15 05/04/2021,11:03 09/04/2021,EzekielSta,5,inside,
9,09:48 09/04/2021,11:08 09/04/2021,ValentinMc,2,inside,
10,17:18 08/04/2021,11:23 09/04/2021,ValentinoB,3,inside,
11,10:25 09/04/2021,11:36 09/04/2021,JulienStua,2,inside,
12,10:52 05/04/2021,12:11 09/04/2021,AprilHowe,5,inside,
13,10:18 08/04/2021,12:11 09/04/2021,MarcoHarpe,4,inside,
14,15:13 02/04/2021,12:28 09/04/2021,OliveMarti,2,outside,"smoking,"
15,12:52 06/04/2021,12:29 09/04/2021,AlvaroDalt,8,inside,
16,11:47 09/04/2021,12:33 09/04/2021,JaggerFlor,2,inside,
17,12:45 07/04/2021,12:45 09/04/2021,RobertoHoo,12,inside,
18,18:49 04/04/2021,12:55 09/04/2021,PatriciaMo,3,inside,
19,09:10 09/04/2021,12:56 09/04/2021,SanaaLewis,2,inside,
20,14:09 08/04/2021,13:21 09/04/2021,AbigailRoc,2,outside,
21,16:43 07/04/2021,13:29 09/04/2021,JamisonSki,2,outside,
22,12:43 07/04/2021,13:43 09/04/2021,CarlShea,15,inside,
23,13:19 07/04/2021,13:43 09/04/2021,KymaniHugh,6,inside,
24,13:11 24/03/2021,13:49 09/04/2021,AishaPeter,3,inside,
25,12:54 09/04/2021,13:49 09/04/2021,EzekielYor,2,outside,
26,18:21 08/04/2021,13:58 09/04/2021,JadenAllis,2,inside,
27,15:37 06/04/2021,14:03 09/04/2021,MicaelaSte,4,inside,
28,08:32 08/04/2021,14:06 09/04/2021,EmmanuelLo,4,outside,
29,19:27 28/03/2021,14:14 09/04/2021,ZainRamire,6,inside,
