,created,date_time,name,people,area,tags
0,15:20 09/04/2021,09:53 10/04/2021,CharlotteW,2,inside,
1,15:20 08/04/2021,10:01 10/04/2021,AspenRitte,6,inside,
2,21:43 09/04/2021,10:07 10/04/2021,KristianMo,2,inside,
3,10:15 07/04/2021,10:36 10/04/2021,GraceMeza,6,inside,
4,09:12 10/04/2021,11:02 10/04/2021,DakotaOrti,5,inside,
5,20:27 09/04/2021,11:11 10/04/2021,AldoOrtega,2,inside,
6,10:12 10/04/2021,11:19 10/04/2021,LaineyDavi,2,inside,
7,09:52 10/04/2021,11:19 10/04/2021,LondonVale,7,inside,
8,10:16 10/04/2021,11:30 10/04/2021,JaimeShaff,2,inside,
9,11:25 10/04/2021,12:04 10/04/2021,CordellCoo,4,inside,
10,10:05 10/04/2021,12:36 10/04/2021,CassiusCal,3,inside,
11,09:45 09/04/2021,12:59 10/04/2021,MosheBaxte,4,inside,
12,09:35 09/04/2021,13:10 10/04/2021,AydenOconn,3,inside,
13,14:00 09/04/2021,13:19 10/04/2021,AlexiaFaul,4,inside,
14,11:10 10/04/2021,13:20 10/04/2021,XimenaFran,3,inside,
15,15:35 10/04/2021,17:46 10/04/2021,KeyonHendr,2,inside,
16,18:42 10/04/2021,19:20 10/04/2021,KyanReed,3,inside,
17,18:03 10/04/2021,19:28 10/04/2021,JamirWagne,2,inside,
18,17:41 10/04/2021,19:30 10/04/2021,ReidBurges,3,inside,
19,15:15 10/04/2021,19:34 10/04/2021,RogerBenit,2,inside,
20,15:26 05/04/2021,19:37 10/04/2021,JuliannaKe,7,inside,
21,19:14 10/04/2021,19:37 10/04/2021,GenesisLut,2,inside,
22,10:50 10/04/2021,20:02 10/04/2021,CamdenHart,2,inside,
23,18:38 10/04/2021,20:06 10/04/2021,KeiraDavid,4,inside,
24,20:05 24/03/2021,20:13 10/04/2021,JaylinCard,2,inside,
25,17:55 10/04/2021,20:16 10/04/2021,BaronHuff,2,inside,
26,16:02 10/04/2021,20:21 10/04/2021,AriaKidd,2,inside,
27,19:34 10/04/2021,20:25 10/04/2021,EnzoBarry,2,inside,
28,18:57 10/04/2021,20:29 10/04/2021,EliannaCla,2,inside,
29,13:54 08/04/2021,20:32 10/04/2021,JustusBran,6,inside,
30,19:31 10/04/2021,20:40 10/04/2021,GiulianaWe,4,inside,
31,14:35 10/04/2021,20:40 10/04/2021,JasminProc,5,inside,
32,19:51 10/04/2021,20:42 10/04/2021,BrandenCis,2,inside,
33,19:49 10/04/2021,20:44 10/04/2021,BaileeJuar,2,inside,
34,19:10 10/04/2021,20:48 10/04/2021,GrahamFran,2,inside,
35,20:02 10/04/2021,20:51 10/04/2021,AntwanRitt,2,inside,
36,15:58 26/03/2021,20:59 10/04/2021,MaddisonHa,2,inside,
37,19:52 10/04/2021,21:10 10/04/2021,ColemanStr,2,inside,
38,21:01 10/04/2021,21:43 10/04/2021,KyanGriffi,2,inside,
39,21:17 10/04/2021,21:47 10/04/2021,KeaganMeza,2,inside,
40,20:19 10/04/2021,22:06 10/04/2021,ChaceChris,2,inside,
41,17:35 10/04/2021,22:25 10/04/2021,RodolfoCha,2,outside,
42,20:49 10/04/2021,22:27 10/04/2021,GracieNova,2,inside,
43,20:49 10/04/2021,22:52 10/04/2021,MalakiDele,2,inside,
44,21:05 10/04/2021,22:52 10/04/2021,ChandlerAy,2,inside,
